Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-17,2724.860107421875,2742.27001953125,2649.570068359375,2650.780029296875,1947500,0,0
2022-02-18,2669.340087890625,2681.39990234375,2603.929931640625,2608.06005859375,2281000,0,0
2022-02-22,2596.760009765625,2643.610107421875,2564.469970703125,2596.27001953125,2249500,0,0
2022-02-23,2632.969970703125,2641.02001953125,2550.550048828125,2551.760009765625,1639300,0,0
2022-02-24,2499.070068359375,2660.0,2499.070068359375,2653.820068359375,2722800,0,0
2022-02-25,2671.0400390625,2705.429931640625,2635.030029296875,2689.18994140625,1820300,0,0
2022-02-28,2661.0,2715.030029296875,2651.85009765625,2701.139892578125,1939400,0,0
2022-03-01,2697.570068359375,2725.110107421875,2664.3701171875,2681.22998046875,1324800,0,0
2022-03-02,2692.56005859375,2705.25,2661.429931640625,2691.429931640625,1176000,0,0
2022-03-03,2720.199951171875,2728.7900390625,2660.510009765625,2677.989990234375,1230200,0,0
2022-03-04,2658.550048828125,2677.030029296875,2606.75,2638.1298828125,1521500,0,0
2022-03-07,2629.760009765625,2634.699951171875,2525.89990234375,2527.570068359375,2255600,0,0
2022-03-08,2525.0,2625.0,2513.489990234375,2542.090087890625,2021400,0,0
2022-03-09,2625.0,2674.7099609375,2598.010009765625,2668.39990234375,1851300,0,0
2022-03-10,2625.320068359375,2665.43994140625,2618.25,2648.590087890625,1355100,0,0
2022-03-11,2669.77001953125,2675.909912109375,2592.6298828125,2597.409912109375,1572700,0,0
2022-03-14,2605.0,2608.179931640625,2505.5,2519.02001953125,1940600,0,0
2022-03-15,2539.52001953125,2597.090087890625,2514.409912109375,2583.9599609375,1546000,0,0
2022-03-16,2614.659912109375,2666.659912109375,2574.68994140625,2665.610107421875,1775800,0,0
2022-03-17,2662.97998046875,2678.22998046875,2643.780029296875,2650.47998046875,484832,0,0
